"Title","Type","Question_Text","Question_Label","Answer_Text","Number_Times_Answer_Selected","Number_Times_Question_Answered","Question_ID","Answer_ID"
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall thermal comfort in the building?</span></p>","Thermal Comfort 1","A. Satisfied",44,59,1413643,4745398
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall thermal comfort in the building?</span></p>","Thermal Comfort 1","B. Neutral",7,59,1413643,4745399
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall thermal comfort in the building?</span></p>","Thermal Comfort 1","C. Unsatisfied",8,59,1413643,4745400
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in summer?</span></p>","Thermal Comfort 2","A. Satisfied",40,57,1413644,4745401
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in summer?</span></p>","Thermal Comfort 2","B. Neutral",11,57,1413644,4745402
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in summer?</span></p>","Thermal Comfort 2","C. Unsatisfied",6,57,1413644,4745403
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in winter?<br /></span></p>","Thermal Comfort 3","A. Satisfied",33,57,1413645,4745404
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in winter?<br /></span></p>","Thermal Comfort 3","B. Neutral",18,57,1413645,4745405
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the temperature in your space/office in winter?<br /></span></p>","Thermal Comfort 3","C. Unsatisfied",6,57,1413645,4745406
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the humidity in your space/office?</span></p>","Thermal Comfort 4","A. Satisfied",35,54,1413646,4745407
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the humidity in your space/office?</span></p>","Thermal Comfort 4","B. Neutral",15,54,1413646,4745408
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the humidity in your space/office?</span></p>","Thermal Comfort 4","C. Unsatisfied",4,54,1413646,4745409
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with draft/airflow from the AC Units where you are located?</span></p>","Thermal Comfort 5","A. Satisfied",41,51,1413647,4745410
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with draft/airflow from the AC Units where you are located?</span></p>","Thermal Comfort 5","B. Neutral",6,51,1413647,4745411
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with draft/airflow from the AC Units where you are located?</span></p>","Thermal Comfort 5","C. Unsatisfied",4,51,1413647,4745412
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>","Air Quality 1","A. Satisfied",41,50,1413648,4745413
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>","Air Quality 1","B. Neutral",6,50,1413648,4745414
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>","Air Quality 1","C. Unsatisfied",3,50,1413648,4745415
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the air quality in your space/office?</span></p>","Air Quality 2","A. Satisfied",35,48,1413649,4745416
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the air quality in your space/office?</span></p>","Air Quality 2","B. Neutral",10,48,1413649,4745417
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the air quality in your space/office?</span></p>","Air Quality 2","C. Unsatisfied",3,48,1413649,4745418
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with air freshness in your space/office?</span></p>","Air Quality 3","A. Satisfied",38,48,1413650,4745419
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with air freshness in your space/office?</span></p>","Air Quality 3","B. Neutral",7,48,1413650,4745420
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with air freshness in your space/office?</span></p>","Air Quality 3","C. Unsatisfied",3,48,1413650,4745421
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with dust in air at your space/office?</span></p>","Air Quality 4","A. Satisfied",32,48,1413651,4745422
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with dust in air at your space/office?</span></p>","Air Quality 4","B. Neutral",5,48,1413651,4745423
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with dust in air at your space/office?</span></p>","Air Quality 4","C. Unsatisfied",11,48,1413651,4745424
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with odors in your space/office (paint/ coatings/ chemicals… etc.)?</span></p>","Air Quality 5","A. Satisfied",32,48,1413652,4745425
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with odors in your space/office (paint/ coatings/ chemicals… etc.)?</span></p>","Air Quality 5","B. Neutral",7,48,1413652,4745426
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with odors in your space/office (paint/ coatings/ chemicals… etc.)?</span></p>","Air Quality 5","C. Unsatisfied",9,48,1413652,4745427
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">LIGHTING:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall quality of artificial lighting in the building?</span></p>","Lighting 1","A. Satisified",38,48,1413653,4745428
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">LIGHTING:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall quality of artificial lighting in the building?</span></p>","Lighting 1","B. Neutral",8,48,1413653,4745429
"Indoor Environment - Occupant Survey: Qatar Academy Expansion - QF","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">LIGHTING:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall quality of artificial lighting in the building?</span></p>","Lighting 1","C. Unsatisfied",2,48,1413653,4745430
